ore; minuti; secondi; corrente; tensione; lemcurr; lemref; temperatura;
15; 57; 48.748; 1.270; 3.979; 2.554; 2.509; 0.587;
15; 57; 48.910; 1.290; 3.975; 2.556; 2.508; 0.586;
15; 57; 48.960; 1.290; 3.977; 2.554; 2.508; 0.586;
15; 57; 49.010; 1.290; 3.979; 2.553; 2.509; 0.587;
15; 57; 49.060; 1.290; 3.980; 2.551; 2.509; 0.586;
15; 57; 49.110; 1.290; 3.982; 2.551; 2.510; 0.587;
15; 57; 49.160; 1.290; 3.984; 2.551; 2.511; 0.586;
15; 57; 49.210; 1.290; 3.981; 2.552; 2.511; 0.587;
15; 57; 49.260; 1.290; 3.982; 2.553; 2.511; 0.587;
15; 57; 49.310; 1.290; 3.975; 2.557; 2.510; 0.586;
15; 57; 49.360; 1.290; 3.973; 2.557; 2.510; 0.586;
15; 57; 49.410; 1.290; 3.972; 2.557; 2.510; 0.585;
15; 57; 49.460; 1.290; 3.974; 2.556; 2.509; 0.587;
15; 57; 49.510; 1.290; 3.974; 2.558; 2.509; 0.587;
15; 57; 49.560; 1.290; 3.976; 2.555; 2.508; 0.586;
15; 57; 49.610; 1.290; 3.977; 2.555; 2.508; 0.587;
15; 57; 49.660; 1.290; 3.979; 2.554; 2.508; 0.586;
15; 57; 49.710; 1.290; 3.979; 2.553; 2.508; 0.586;
15; 57; 49.760; 1.290; 3.980; 2.552; 2.510; 0.586;
15; 57; 49.810; 1.290; 3.982; 2.551; 2.510; 0.586;
15; 57; 49.860; 1.290; 3.984; 2.550; 2.510; 0.586;
15; 57; 49.910; 1.290; 3.983; 2.552; 2.511; 0.586;
15; 57; 49.960; 1.290; 3.983; 2.553; 2.511; 0.586;
15; 57; 50.010; 1.290; 3.979; 2.556; 2.510; 0.585;
15; 57; 50.060; 1.290; 3.975; 2.557; 2.510; 0.587;
15; 57; 50.110; 1.290; 3.971; 2.559; 2.509; 0.586;
15; 57; 50.160; 1.290; 3.973; 2.557; 2.509; 0.585;
15; 57; 50.210; 1.290; 3.974; 2.556; 2.508; 0.585;
15; 57; 50.260; 1.290; 3.977; 2.555; 2.509; 0.585;
15; 57; 50.310; 1.290; 3.979; 2.554; 2.508; 0.585;
15; 57; 50.360; 1.290; 3.981; 2.553; 2.509; 0.585;
15; 57; 50.516; 1.280; 3.980; 2.551; 2.509; 0.586;
15; 57; 50.566; 1.280; 3.982; 2.550; 2.509; 0.585;
15; 57; 50.616; 1.280; 3.982; 2.550; 2.510; 0.585;
15; 57; 50.666; 1.280; 3.982; 2.551; 2.511; 0.585;
15; 57; 50.716; 1.280; 3.982; 2.552; 2.511; 0.585;
15; 57; 50.766; 1.280; 3.983; 2.554; 2.510; 0.585;
15; 57; 50.816; 1.280; 3.979; 2.555; 2.510; 0.586;
15; 57; 50.866; 1.280; 3.975; 2.556; 2.510; 0.584;
15; 57; 50.916; 1.280; 3.972; 2.557; 2.510; 0.585;
15; 57; 50.966; 1.280; 3.971; 2.557; 2.510; 0.584;
15; 57; 51.016; 1.280; 3.972; 2.557; 2.509; 0.584;
15; 57; 51.066; 1.280; 3.973; 2.557; 2.509; 0.586;
15; 57; 51.116; 1.280; 3.974; 2.557; 2.507; 0.585;
15; 57; 51.166; 1.280; 3.975; 2.555; 2.508; 0.585;
15; 57; 51.216; 1.280; 3.978; 2.553; 2.509; 0.585;
15; 57; 51.266; 1.280; 3.979; 2.553; 2.508; 0.584;
15; 57; 51.316; 1.280; 3.980; 2.551; 2.509; 0.584;
15; 57; 51.366; 1.280; 3.982; 2.550; 2.511; 0.584;
15; 57; 51.416; 1.280; 3.984; 2.550; 2.511; 0.584;
15; 57; 51.466; 1.280; 3.982; 2.551; 2.511; 0.584;
15; 57; 51.516; 1.280; 3.982; 2.553; 2.510; 0.584;
15; 57; 51.566; 1.280; 3.981; 2.555; 2.511; 0.584;
15; 57; 51.616; 1.280; 3.975; 2.557; 2.511; 0.584;
15; 57; 51.666; 1.280; 3.973; 2.557; 2.510; 0.584;
15; 57; 51.716; 1.280; 3.971; 2.558; 2.510; 0.583;
15; 57; 51.766; 1.280; 3.972; 2.559; 2.509; 0.583;
15; 57; 51.816; 1.280; 3.973; 2.557; 2.510; 0.584;
