ore; minuti; secondi; corrente; tensione; lemcurr; lemref; temperatura;
8; 54; 15.534;-0.010; 1.386; 2.510; 2.506; 0.318;
8; 54; 15.584;-0.010; 1.392; 2.509; 2.505; 0.316;
8; 54; 15.634;-0.010; 1.405; 2.511; 2.505; 0.308;
8; 54; 15.851; 0.010; 1.397; 2.510; 2.506; 0.308;
8; 54; 15.901; 0.010; 1.404; 2.510; 2.505; 0.309;
8; 54; 15.951; 0.010; 1.393; 2.509; 2.506; 0.312;
8; 54; 16.001; 0.010; 1.385; 2.510; 2.505; 0.320;
8; 54; 16.051; 0.010; 1.387; 2.509; 2.506; 0.317;
8; 54; 16.101; 0.010; 1.398; 2.510; 2.505; 0.309;
8; 54; 16.151; 0.010; 1.403; 2.510; 2.506; 0.309;
8; 54; 16.201; 0.010; 1.391; 2.509; 2.505; 0.313;
8; 54; 16.251; 0.010; 1.384; 2.510; 2.505; 0.318;
8; 54; 16.301; 0.010; 1.389; 2.510; 2.506; 0.317;
8; 54; 16.351; 0.010; 1.402; 2.509; 2.505; 0.308;
8; 54; 16.401; 0.010; 1.402; 2.510; 2.505; 0.309;
8; 54; 16.451; 0.010; 1.389; 2.510; 2.505; 0.313;
8; 54; 16.501; 0.010; 1.385; 2.510; 2.505; 0.318;
8; 54; 16.551; 0.010; 1.392; 2.509; 2.506; 0.317;
8; 54; 16.601; 0.010; 1.404; 2.511; 2.506; 0.308;
8; 54; 16.651; 0.010; 1.399; 2.510; 2.505; 0.310;
8; 54; 16.701; 0.010; 1.386; 2.510; 2.506; 0.313;
8; 54; 16.751; 0.010; 1.386; 2.510; 2.505; 0.319;
8; 54; 16.801; 0.010; 1.394; 2.510; 2.505; 0.314;
8; 54; 16.851; 0.010; 1.404; 2.510; 2.506; 0.307;
8; 54; 16.901; 0.010; 1.395; 2.510; 2.505; 0.313;
8; 54; 16.951; 0.010; 1.385; 2.510; 2.506; 0.319;
