ore; minuti; secondi; corrente; tensione; lemcurr; lemref; temperatura/100;
19; 41; 35.099; 0.000; 3.476; 2.582; 2.514; 0.536;
19; 41; 35.149; 0.000; 3.474; 2.581; 2.513; 0.536;
19; 41; 35.199; 0.000; 3.454; 2.581; 2.513; 0.537;
19; 41; 35.249; 0.000; 3.469; 2.580; 2.514; 0.537;
19; 41; 35.299; 0.000; 3.472; 2.579; 2.514; 0.536;
19; 41; 35.349; 0.000; 3.507; 2.579; 2.513; 0.537;
19; 41; 35.399; 0.000; 3.452; 2.579; 2.513; 0.537;
19; 41; 35.449; 0.000; 3.494; 2.577; 2.514; 0.536;
19; 41; 35.499; 0.000; 3.489; 2.578; 2.513; 0.536;
19; 41; 35.549; 0.000; 3.474; 2.577; 2.514; 0.536;
19; 41; 35.599; 0.000; 3.446; 2.577; 2.513; 0.536;
19; 41; 35.649; 0.000; 3.472; 2.578; 2.512; 0.536;
19; 41; 35.699; 0.000; 3.486; 2.579; 2.512; 0.536;
19; 41; 35.749; 0.000; 3.457; 2.579; 2.511; 0.536;
19; 41; 35.799; 0.000; 3.462; 2.580; 2.511; 0.536;
19; 41; 35.849; 0.000; 3.472; 2.581; 2.512; 0.536;
19; 41; 35.899; 0.000; 3.479; 2.581; 2.512; 0.536;
19; 41; 35.949; 0.000; 3.466; 2.583; 2.512; 0.537;
19; 41; 35.999; 0.000; 3.505; 2.581; 2.513; 0.536;
19; 41; 36.049; 0.000; 3.488; 2.581; 2.513; 0.536;
19; 41; 36.099; 0.000; 3.467; 2.581; 2.513; 0.535;
19; 41; 36.149; 0.000; 3.439; 2.579; 2.513; 0.537;
19; 41; 36.199; 0.000; 3.486; 2.577; 2.514; 0.533;
19; 41; 36.249; 0.000; 3.447; 2.577; 2.512; 0.537;
19; 41; 36.299; 0.000; 3.498; 2.575; 2.514; 0.535;
19; 41; 36.349; 0.000; 3.470; 2.574; 2.513; 0.535;
