ore; minuti; secondi; corrente; tensione; lemcurr; lemref; temperatura/100;
19; 11; 9.358; 0.000; 3.273; 2.582; 2.511; 0.366;
19; 11; 9.408; 0.000; 3.271; 2.583; 2.511; 0.366;
19; 11; 9.458; 0.000; 3.269; 2.584; 2.511; 0.366;
19; 11; 9.508; 0.000; 3.268; 2.584; 2.511; 0.375;
19; 11; 9.558; 0.000; 3.268; 2.583; 2.512; 0.343;
19; 11; 9.608; 0.000; 3.268; 2.584; 2.512; 0.375;
19; 11; 9.658; 0.000; 3.267; 2.584; 2.512; 0.362;
19; 11; 9.708; 0.000; 3.269; 2.583; 2.512; 0.365;
19; 11; 9.758; 0.000; 3.271; 2.582; 2.512; 0.368;
19; 11; 9.808; 0.000; 3.274; 2.580; 2.512; 0.357;
19; 11; 9.858; 0.000; 3.275; 2.580; 2.513; 0.371;
19; 11; 9.908; 0.000; 3.277; 2.579; 2.513; 0.366;
19; 11; 9.958; 0.000; 3.276; 2.578; 2.513; 0.365;
19; 11; 10.008; 0.000; 3.275; 2.576; 2.513; 0.364;
19; 11; 10.058; 0.000; 3.278; 2.576; 2.512; 0.365;
19; 11; 10.108; 0.000; 3.277; 2.576; 2.512; 0.366;
19; 11; 10.158; 0.000; 3.276; 2.575; 2.512; 0.366;
19; 11; 10.208; 0.000; 3.275; 2.575; 2.511; 0.364;
19; 11; 10.258; 0.000; 3.273; 2.578; 2.511; 0.366;
19; 11; 10.308; 0.000; 3.272; 2.578; 2.511; 0.366;
19; 11; 10.358; 0.000; 3.270; 2.579; 2.511; 0.367;
19; 11; 10.408; 0.000; 3.270; 2.578; 2.511; 0.357;
19; 11; 10.458; 0.000; 3.267; 2.581; 2.510; 0.373;
19; 11; 10.508; 0.000; 3.266; 2.580; 2.511; 0.357;
19; 11; 10.558; 0.000; 3.267; 2.580; 2.512; 0.368;
19; 11; 10.608; 0.000; 3.269; 2.578; 2.512; 0.367;
19; 11; 10.658; 0.000; 3.273; 2.577; 2.513; 0.360;
19; 11; 10.708; 0.000; 3.276; 2.575; 2.512; 0.367;
19; 11; 10.758; 0.000; 3.275; 2.574; 2.512; 0.367;
19; 11; 10.808; 0.000; 3.278; 2.573; 2.512; 0.364;
19; 11; 9.850; 1.970; 3.277; 2.572; 2.513; 0.363;
19; 11; 9.900; 1.970; 3.275; 2.572; 2.511; 0.365;
19; 11; 9.950; 1.970; 3.274; 2.573; 2.510; 0.367;
19; 11; 10.000; 1.970; 3.273; 2.575; 2.509; 0.365;
19; 11; 10.050; 1.970; 3.272; 2.576; 2.510; 0.365;
19; 11; 10.100; 1.970; 3.271; 2.576; 2.511; 0.361;
19; 11; 10.150; 1.970; 3.267; 2.576; 2.511; 0.370;
19; 11; 10.200; 1.970; 3.268; 2.576; 2.511; 0.354;
19; 11; 10.250; 1.970; 3.268; 2.577; 2.511; 0.365;
19; 11; 10.300; 1.970; 3.268; 2.575; 2.512; 0.369;
19; 11; 10.350; 1.970; 3.273; 2.572; 2.512; 0.360;
19; 11; 10.400; 1.970; 3.275; 2.572; 2.512; 0.366;
19; 11; 10.450; 1.970; 3.276; 2.571; 2.512; 0.368;
19; 11; 10.500; 1.970; 3.276; 2.568; 2.512; 0.362;
19; 11; 10.550; 1.970; 3.277; 2.569; 2.512; 0.369;
19; 11; 10.600; 1.970; 3.278; 2.568; 2.512; 0.359;
19; 11; 10.650; 1.970; 3.277; 2.568; 2.512; 0.365;
19; 11; 10.700; 1.970; 3.277; 2.568; 2.511; 0.368;
19; 11; 10.750; 1.970; 3.275; 2.568; 2.511; 0.364;
19; 11; 10.800; 1.970; 3.274; 2.570; 2.510; 0.367;
19; 11; 10.850; 1.970; 3.273; 2.570; 2.510; 0.370;
19; 11; 10.900; 1.970; 3.273; 2.570; 2.509; 0.367;
19; 11; 10.950; 1.970; 3.272; 2.571; 2.510; 0.361;
19; 11; 11.000; 1.970; 3.273; 2.572; 2.510; 0.372;
19; 11; 11.050; 1.970; 3.271; 2.572; 2.510; 0.357;
19; 11; 11.100; 1.970; 3.269; 2.572; 2.510; 0.361;
19; 11; 11.150; 1.970; 3.269; 2.572; 2.510; 0.386;
19; 11; 11.200; 1.970; 3.269; 2.572; 2.511; 0.376;
19; 11; 11.250; 1.970; 3.268; 2.572; 2.510; 0.344;
19; 11; 11.300; 1.970; 3.268; 2.571; 2.511; 0.360;
19; 11; 11.640; 1.790; 3.268; 2.571; 2.511; 0.382;
19; 11; 11.690; 1.790; 3.270; 2.569; 2.511; 0.370;
19; 11; 11.740; 1.790; 3.273; 2.568; 2.511; 0.366;
19; 11; 11.790; 1.790; 3.277; 2.566; 2.512; 0.368;
19; 11; 11.840; 1.790; 3.276; 2.565; 2.512; 0.371;
19; 11; 11.890; 1.790; 3.279; 2.563; 2.511; 0.368;
19; 11; 11.940; 1.790; 3.277; 2.565; 2.510; 0.368;
19; 11; 11.990; 1.790; 3.275; 2.565; 2.510; 0.369;
19; 11; 12.040; 1.790; 3.274; 2.567; 2.509; 0.370;
19; 11; 12.090; 1.790; 3.272; 2.568; 2.509; 0.364;
19; 11; 12.140; 1.790; 3.269; 2.569; 2.510; 0.374;
19; 11; 12.190; 1.790; 3.269; 2.569; 2.510; 0.371;
19; 11; 12.240; 1.790; 3.269; 2.569; 2.511; 0.366;
