ore; minuti; secondi; corrente; tensione; lemcurr; lemref; temperatura/100;
16; 20; 17.119;-0.080; 3.585; 2.469; 2.497; 0.321;
16; 20; 17.169;-0.080; 3.587; 2.468; 2.497; 0.305;
16; 20; 17.219;-0.080; 3.587; 2.467; 2.497; 0.304;
16; 20; 17.404; 0.000; 3.589; 2.465; 2.497; 0.323;
16; 20; 17.454; 0.000; 3.589; 2.465; 2.496; 0.322;
16; 20; 17.504; 0.000; 3.589; 2.465; 2.496; 0.307;
16; 20; 17.554; 0.000; 3.589; 2.465; 2.497; 0.302;
16; 20; 17.604; 0.000; 3.589; 2.465; 2.497; 0.322;
16; 20; 17.654; 0.000; 3.589; 2.465; 2.497; 0.323;
16; 20; 17.704; 0.000; 3.589; 2.464; 2.497; 0.308;
16; 20; 17.754; 0.000; 3.590; 2.465; 2.496; 0.302;
16; 20; 17.804; 0.000; 3.590; 2.465; 2.497; 0.320;
16; 20; 17.854; 0.000; 3.589; 2.465; 2.497; 0.324;
16; 20; 17.904; 0.000; 3.589; 2.465; 2.496; 0.313;
16; 20; 17.954; 0.000; 3.590; 2.465; 2.496; 0.299;
16; 20; 18.004; 0.000; 3.590; 2.466; 2.497; 0.320;
16; 20; 18.054; 0.000; 3.589; 2.465; 2.497; 0.322;
16; 20; 18.104; 0.000; 3.591; 2.465; 2.496; 0.305;
16; 20; 18.154; 0.000; 3.590; 2.464; 2.497; 0.306;
16; 20; 18.204; 0.000; 3.590; 2.464; 2.496; 0.327;
16; 20; 18.254; 0.000; 3.591; 2.462; 2.497; 0.314;
16; 20; 18.304; 0.000; 3.592; 2.464; 2.496; 0.300;
16; 20; 18.354; 0.000; 3.592; 2.463; 2.497; 0.318;
16; 20; 18.404; 0.000; 3.592; 2.463; 2.497; 0.321;
16; 20; 18.454; 0.000; 3.591; 2.463; 2.496; 0.306;
16; 20; 18.504; 0.000; 3.592; 2.464; 2.497; 0.304;
16; 20; 18.554; 0.000; 3.591; 2.463; 2.497; 0.320;
16; 20; 18.604; 0.000; 3.592; 2.463; 2.496; 0.322;
16; 20; 18.654; 0.000; 3.592; 2.463; 2.497; 0.306;
16; 20; 18.704; 0.000; 3.592; 2.463; 2.497; 0.305;
16; 20; 18.754; 0.000; 3.592; 2.463; 2.496; 0.327;
16; 20; 18.804; 0.000; 3.593; 2.463; 2.497; 0.315;
16; 20; 18.854; 0.000; 3.593; 2.463; 2.496; 0.305;
16; 20; 19.042;-1.000; 3.593; 2.463; 2.496; 0.305;
16; 20; 19.092;-1.000; 3.593; 2.464; 2.496; 0.311;
16; 20; 19.142;-1.000; 3.593; 2.463; 2.497; 0.324;
16; 20; 19.192;-1.000; 3.592; 2.464; 2.497; 0.314;
16; 20; 19.242;-1.000; 3.593; 2.463; 2.496; 0.304;
16; 20; 19.292;-1.000; 3.593; 2.463; 2.497; 0.315;
16; 20; 19.342;-1.000; 3.593; 2.463; 2.497; 0.321;
16; 20; 19.392;-1.000; 3.593; 2.463; 2.497; 0.307;
16; 20; 19.442;-1.000; 3.593; 2.463; 2.497; 0.304;
